"RESU_SIGM_NOEU_Vector:0","RESU_SIGM_NOEU_Vector:1","RESU_SIGM_NOEU_Vector:2","RESU_DEPL:0","RESU_DEPL:1","RESU_DEPL:2","RESU_EPSI_NOEU:0","RESU_EPSI_NOEU:1","RESU_EPSI_NOEU:2","RESU_EPSI_NOEU:3","RESU_EPSI_NOEU:4","RESU_EPSI_NOEU:5","RESU_EPSI_NOEU_Vector:0","RESU_EPSI_NOEU_Vector:1","RESU_EPSI_NOEU_Vector:2","RESU_SIEQ_NOEU:0","RESU_SIEQ_NOEU:1","RESU_SIEQ_NOEU:2","RESU_SIEQ_NOEU:3","RESU_SIEQ_NOEU:4","RESU_SIEQ_NOEU:5","RESU_SIEQ_NOEU:6","RESU_SIEQ_NOEU:7","RESU_SIEQ_NOEU:8","RESU_SIEQ_NOEU:9","RESU_SIEQ_NOEU:10","RESU_SIEQ_NOEU:11","RESU_SIEQ_NOEU:12","RESU_SIEQ_NOEU:13","RESU_SIEQ_NOEU:14","RESU_SIEQ_NOEU:15","RESU_SIEQ_NOEU:16","RESU_SIEQ_NOEU_Vector:0","RESU_SIEQ_NOEU_Vector:1","RESU_SIEQ_NOEU_Vector:2","RESU_SIGM_NOEU:0","RESU_SIGM_NOEU:1","RESU_SIGM_NOEU:2","RESU_SIGM_NOEU:3","RESU_SIGM_NOEU:4","RESU_SIGM_NOEU:5","MED_POINT_ID","MED_CELL_ID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.41270e+01,9.59669e+01,2.33554e+02,-1.28397e-03,-5.21295e-20,1.99422e-02,-7.01388e-05,3.15587e-06,8.54883e-04,1.13813e-05,8.96489e-05,1.47179e-05,-7.01388e-05,3.15587e-06,8.54883e-04,1.51540e+02,1.59362e+02,7.89023e+01,9.64806e+01,2.38264e+02,1.51540e+02,5.67862e-01,3.81322e-02,-2.13973e-02,1.20218e-01,9.70993e-01,-3.57718e-02,1.07623e-01,1.82520e-02,9.83261e-01,4.13647e+02,9.29643e-01,1.51540e+02,1.59362e+02,7.89023e+01,8.41270e+01,9.59669e+01,2.33554e+02,1.83852e+00,1.44817e+01,2.37751e+00,0,6945,1,4.50000e+01,1.05000e+02,0.00000e+00,4.50000e+01
8.51779e+01,1.03566e+02,2.57519e+02,-1.08791e-03,-9.06013e-20,2.07002e-02,-1.10227e-04,3.60256e-06,9.56649e-04,1.40068e-05,1.08590e-04,2.02296e-05,-1.10227e-04,3.60256e-06,9.56649e-04,1.72679e+02,1.83279e+02,7.95040e+01,1.03976e+02,2.62783e+02,1.72679e+02,7.02197e-01,-1.66197e-02,-4.32438e-02,1.21415e-01,9.76331e-01,-3.92349e-02,1.02932e-01,2.21917e-02,9.84098e-01,4.46263e+02,8.93767e-01,1.72679e+02,1.83279e+02,7.95040e+01,8.51779e+01,1.03566e+02,2.57519e+02,2.26264e+00,1.75414e+01,3.26786e+00,0,6945,1,4.59000e+01,1.05000e+02,0.00000e+00,4.59000e+01
8.45802e+01,1.11557e+02,2.84799e+02,-9.34822e-04,-1.25056e-19,2.15126e-02,-1.63460e-04,3.53943e-06,1.07599e-03,1.77376e-05,1.41234e-04,2.70032e-05,-1.63460e-04,3.53943e-06,1.07599e-03,1.96429e+02,2.10201e+02,7.94332e+01,1.11868e+02,2.89634e+02,1.96429e+02,8.52271e-01,-7.88940e-02,-7.71585e-02,1.24616e-01,9.81770e-01,-4.19859e-02,1.07678e-01,2.67754e-02,9.87644e-01,4.80936e+02,8.52525e-01,1.96429e+02,2.10201e+02,7.94332e+01,8.45802e+01,1.11557e+02,2.84799e+02,2.86530e+00,2.28147e+01,4.36205e+00,0,6945,1,4.68000e+01,1.05000e+02,0.00000e+00,4.68000e+01
8.00778e+01,1.18734e+02,3.13480e+02,-7.23086e-04,-1.26896e-19,2.24581e-02,-2.36126e-04,3.17400e-06,1.20875e-03,1.88354e-05,1.62377e-04,3.13851e-05,-2.36126e-04,3.17400e-06,1.20875e-03,2.22276e+02,2.39851e+02,7.67373e+01,1.18967e+02,3.16588e+02,2.22276e+02,9.90108e-01,-1.23937e-01,-1.08606e-01,1.19082e-01,9.86842e-01,-4.08946e-02,1.06245e-01,2.90793e-02,9.94785e-01,5.12292e+02,8.04779e-01,2.22276e+02,2.39851e+02,7.67373e+01,8.00778e+01,1.18734e+02,3.13480e+02,3.04265e+00,2.62301e+01,5.06990e+00,0,6937,1,4.77000e+01,1.05000e+02,0.00000e+00,4.77000e+01
6.79180e+01,1.20861e+02,3.32553e+02,-2.81060e-04,-4.52776e-20,2.36768e-02,-3.24315e-04,3.42788e-06,1.31390e-03,8.12858e-06,9.48467e-05,2.26982e-05,-3.24315e-04,3.42788e-06,1.31390e-03,2.44409e+02,2.66383e+02,6.69403e+01,1.21068e+02,3.33323e+02,2.44409e+02,1.02469e+00,-8.59919e-02,-8.52926e-02,7.85916e-02,9.90096e-01,-2.90598e-02,5.48579e-02,2.10869e-02,1.00315e+00,5.21332e+02,7.52290e-01,2.44409e+02,2.66383e+02,6.69403e+01,6.79180e+01,1.20861e+02,3.32553e+02,1.31308e+00,1.53214e+01,3.66664e+00,0,6937,1,4.86000e+01,1.05000e+02,0.00000e+00,4.86000e+01
5.71971e+01,1.21386e+02,3.44740e+02,-1.67982e-05,6.56452e-21,2.48573e-02,-3.93526e-04,3.83111e-06,1.38650e-03,-1.18863e-06,1.78560e-05,1.27479e-05,-3.93526e-04,3.83111e-06,1.38650e-03,2.61760e+02,2.87487e+02,5.71339e+01,1.21567e+02,3.44621e+02,2.61760e+02,1.04054e+00,-4.92375e-02,-4.79365e-02,4.11218e-02,9.92995e-01,-1.80245e-02,5.15034e-03,1.25819e-02,1.00670e+00,5.23322e+02,7.01966e-01,2.61760e+02,2.87487e+02,5.71339e+01,5.71971e+01,1.21386e+02,3.44740e+02,-1.92009e-01,2.88443e+00,2.05927e+00,0,6937,1,4.95000e+01,1.05000e+02,0.00000e+00,4.95000e+01
4.79151e+01,1.20307e+02,3.50041e+02,6.96979e-05,2.86295e-20,2.59996e-02,-4.43759e-04,4.38369e-06,1.42654e-03,-9.11614e-06,-6.85947e-05,1.53405e-06,-4.43759e-04,4.38369e-06,1.42654e-03,2.74329e+02,3.03164e+02,4.73180e+01,1.20463e+02,3.50482e+02,2.74329e+02,1.03764e+00,-1.36736e-02,3.46193e-03,6.67276e-03,9.95540e-01,-7.78890e-03,-4.28772e-02,3.56430e-03,1.00545e+00,5.18264e+02,6.53808e-01,2.74329e+02,3.03164e+02,4.73180e+01,4.79151e+01,1.20307e+02,3.50041e+02,-1.47261e+00,-1.10807e+01,2.47808e-01,0,6937,1,5.04000e+01,1.05000e+02,0.00000e+00,5.04000e+01
4.00721e+01,1.17627e+02,3.48457e+02,-2.15712e-05,2.09175e-20,2.71036e-02,-4.75014e-04,5.08562e-06,1.43403e-03,-1.56539e-05,-1.64505e-04,-1.09432e-05,-4.75014e-04,5.08562e-06,1.43403e-03,2.82115e+02,3.13414e+02,3.74927e+01,1.17757e+02,3.50906e+02,2.82115e+02,1.01600e+00,2.06996e-02,6.89023e-02,-2.47554e-02,9.97730e-01,1.64700e-03,-8.92245e-02,-5.96580e-03,9.99381e-01,5.06156e+02,6.07814e-01,2.82115e+02,3.13414e+02,3.74927e+01,4.00721e+01,1.17627e+02,3.48457e+02,-2.52871e+00,-2.65739e+01,-1.76774e+00,0,6937,1,5.13000e+01,1.05000e+02,0.00000e+00,5.13000e+01
3.24938e+01,1.14811e+02,3.47177e+02,-3.77571e-04,-7.13616e-20,2.82848e-02,-5.05250e-04,4.33079e-06,1.44279e-03,-1.84468e-05,-2.11025e-04,-1.75526e-05,-5.05250e-04,4.33079e-06,1.44279e-03,2.88000e+02,3.21115e+02,2.92190e+01,1.14928e+02,3.50334e+02,2.88000e+02,9.93713e-01,3.94626e-02,1.08091e-01,-4.04244e-02,9.98978e-01,6.48364e-03,-1.07704e-01,-1.12949e-02,9.94625e-01,4.94481e+02,5.72353e-01,2.88000e+02,3.21115e+02,2.92190e+01,3.24938e+01,1.14811e+02,3.47177e+02,-2.97987e+00,-3.40887e+01,-2.83543e+00,0,6928,1,5.22000e+01,1.05000e+02,0.00000e+00,5.22000e+01
2.38045e+01,1.13246e+02,3.53322e+02,-9.75604e-04,-2.66305e-19,2.96475e-02,-5.53171e-04,5.13076e-07,1.48670e-03,-1.46855e-05,-1.58822e-04,-1.25705e-05,-5.53171e-04,5.13076e-07,1.48670e-03,2.95491e+02,3.29961e+02,2.35206e+01,1.13370e+02,3.53482e+02,2.95491e+02,9.97677e-01,2.91488e-02,8.09705e-02,-2.96331e-02,9.99038e-01,4.76373e-03,-8.07825e-02,-8.68488e-03,9.98532e-01,4.90372e+02,5.52865e-01,2.95491e+02,3.29961e+02,2.35206e+01,2.38045e+01,1.13246e+02,3.53322e+02,-2.37227e+00,-2.56558e+01,-2.03062e+00,0,6928,1,5.31000e+01,1.05000e+02,0.00000e+00,5.31000e+01
